File Name,Character Count
00355.txt,9887
00356.txt,10232
00357.txt,9205
00358.txt,13566
00359.txt,10228
00360.txt,12529
00361.txt,10341
00362.txt,6610
00363.txt,12421
00364.txt,17283
00365.txt,7567
00366.txt,16828
00367.txt,14630
00368.txt,8493
00369.txt,13518
00370.txt,9607
00371.txt,9198
00372.txt,20992
00373.txt,12218
00374.txt,12873
00375.txt,9656
00376.txt,9267
00377.txt,12531
00378.txt,13676
00379.txt,11200
00380.txt,12434
00381.txt,9742
00382.txt,15613
00383.txt,12218
00384.txt,16332
00385.txt,14977
00386.txt,9199
00387.txt,14695
00388.txt,9077
00389.txt,4581
00390.txt,34281
00391.txt,14581
00392.txt,10353
00393.txt,15674
00394.txt,6549
00395.txt,17630
00396.txt,7074
00397.txt,10950
00398.txt,25670
00399.txt,10899
00400.txt,10068
00401.txt,8160
00402.txt,13501
00403.txt,9338
00404.txt,10794
00405.txt,11879
00406.txt,11885
00407.txt,10023
00408.txt,7141
00409.txt,9824
00410.txt,14808
00411.txt,11624
00412.txt,12501
00413.txt,9464
00414.txt,17464
00415.txt,16715
00416.txt,15221
00417.txt,9824
00418.txt,10674
00419.txt,18776
00420.txt,15678
00421.txt,12459
00422.txt,15037
00423.txt,12935
00424.txt,15193
00425.txt,13402
00426.txt,14209
00427.txt,42325
00428.txt,14064
00429.txt,12075
00430.txt,14169
00431.txt,5254
00432.txt,9400
00433.txt,10927
00434.txt,38279
00435.txt,19253
00436.txt,11046
00437.txt,13693
00438.txt,16362
00439.txt,10988
00440.txt,11921
00441.txt,12437
00442.txt,16306
00443.txt,49775
00444.txt,9300
00445.txt,10041
00446.txt,7791
00447.txt,13086
00448.txt,16160
00449.txt,6132
00450.txt,8070
00451.txt,12586
00452.txt,10731
00453.txt,7262
00454.txt,10219
00455.txt,11722
00456.txt,7818
00457.txt,11420
00458.txt,13037
00459.txt,11561
00460.txt,16030
00461.txt,7925
00462.txt,11220
00463.txt,12007
00464.txt,9292
00465.txt,10628
00466.txt,16093
00467.txt,10313
00468.txt,10692
00469.txt,9859
00470.txt,11028
00471.txt,12175
00472.txt,11907
00473.txt,47487
00474.txt,12545
00475.txt,13260
00476.txt,10429
00477.txt,11189
00478.txt,21584
00479.txt,13153
00480.txt,12733
00481.txt,20193
00482.txt,13166
00483.txt,10584
00484.txt,15610
00485.txt,17557
00486.txt,30119
00487.txt,11038
00488.txt,10066
00489.txt,13683
00490.txt,16166
00491.txt,10637
00492.txt,15533
00493.txt,14182
00494.txt,12041
00495.txt,12464
00496.txt,12176
00497.txt,34442
00498.txt,18953
00499.txt,14571
00500.txt,11021
00501.txt,11222
00502.txt,12598
00503.txt,14182
00504.txt,13173
00505.txt,22814
00506.txt,17798
00507.txt,13434
00508.txt,16200
00509.txt,13979
00510.txt,12462
00511.txt,21468
00512.txt,11357
00513.txt,11181
00514.txt,16520
00515.txt,19537
00516.txt,18351
00517.txt,9380
00518.txt,20166
00519.txt,9747
00520.txt,11842
00521.txt,27275
00522.txt,22858
00523.txt,10549
00524.txt,12991
00525.txt,12286
00526.txt,11522
00527.txt,9095
00528.txt,9336
00529.txt,9220
00530.txt,11711
00531.txt,13570
00532.txt,19436
00533.txt,11376
00534.txt,12637
00535.txt,7466
00536.txt,13564
00537.txt,17068
00538.txt,10264
00539.txt,13936
00540.txt,11078
00541.txt,14915
00542.txt,10930
00543.txt,12261
00544.txt,9483
00545.txt,10480
00546.txt,12265
00547.txt,13144
00548.txt,13326
00549.txt,10983
00550.txt,10207
00551.txt,16997
00552.txt,20577
00553.txt,14388
00554.txt,8200
00555.txt,10631
00556.txt,31698
00557.txt,13802
00558.txt,16632
00559.txt,14697
00560.txt,11279
00561.txt,15699
00562.txt,18706
00563.txt,13306
00564.txt,10279
00565.txt,20023
00566.txt,14919
00567.txt,9171
00568.txt,15553
00569.txt,13800
00570.txt,13270
00571.txt,16090
00572.txt,8536
00573.txt,14058
00574.txt,15603
00575.txt,11941
00576.txt,11917
00577.txt,16233
00578.txt,10276
00579.txt,11684
00580.txt,24111
00581.txt,12002
00582.txt,14369
00583.txt,18108
00584.txt,10135
00585.txt,10373
00586.txt,10589
00587.txt,8575
00588.txt,8309
00589.txt,9991
00590.txt,13368
00591.txt,9141
00592.txt,12235
00593.txt,14779
00594.txt,11082
00595.txt,9404
00596.txt,6382
00597.txt,11984
00598.txt,8185
00599.txt,13242
00600.txt,18616
00601.txt,11130
00602.txt,10540
00603.txt,10441
00604.txt,8925
00605.txt,14519
00606.txt,6704
00607.txt,10261
00608.txt,7860
00609.txt,7975
00610.txt,10681
00611.txt,12343
00612.txt,28127
00613.txt,9556
00614.txt,16848
00615.txt,24475
00616.txt,36894
00617.txt,8743
00618.txt,10228
00619.txt,11087
00620.txt,8028
00621.txt,14617
00622.txt,11495
00623.txt,374
00624.txt,9654
00625.txt,12121
00626.txt,14926
00627.txt,12113
00628.txt,11965
00629.txt,16224
00630.txt,15860
00631.txt,7600
00632.txt,13496
00633.txt,10674
00634.txt,12394
00635.txt,13182
00636.txt,14012
00637.txt,9405
00638.txt,16576
00639.txt,12446
00640.txt,15304
00641.txt,12698
00642.txt,14402
00643.txt,17832
00644.txt,11513
00645.txt,7157
00646.txt,11522
00647.txt,10856
00648.txt,11108
00649.txt,9763
00650.txt,10673
00651.txt,9125
00652.txt,9883
00653.txt,10363
00654.txt,10142
00655.txt,10631
00656.txt,7544
00657.txt,10460
00658.txt,8480
00659.txt,11393
00660.txt,12778
00661.txt,10708
00662.txt,7739
00663.txt,7208
00664.txt,10746
00665.txt,7587
00666.txt,7814
00667.txt,11418
00668.txt,9424
00669.txt,8502
00670.txt,17226
00671.txt,13124
00672.txt,18433
00673.txt,9573
00674.txt,21408
00675.txt,11304
00676.txt,49071
00677.txt,49595
00678.txt,25850
00679.txt,3897
00680.txt,10295
00681.txt,9043
00682.txt,8660
00683.txt,10901
00684.txt,15172
00685.txt,10014
00686.txt,11456
00687.txt,10686
00688.txt,6840
00689.txt,8402
00690.txt,12201
00691.txt,9363
00692.txt,10446
00693.txt,14307
00694.txt,19955
00695.txt,10199
00696.txt,9379
00697.txt,11372
00698.txt,11484
00699.txt,15155
00700.txt,14649
00701.txt,6987
00702.txt,8250
00703.txt,9630
00704.txt,11929
00705.txt,11695
00706.txt,15518
00707.txt,19576
00708.txt,5425
00709.txt,16512
00710.txt,12269
00711.txt,13008
00712.txt,11574
00713.txt,12046
00714.txt,13579
00715.txt,15247
